timestamp,value
0,792
1,817
2,790
3,812
4,833
5,761
6,793
7,807
8,798
9,789
10,832
11,801
12,775
13,812
14,774
15,817
16,791
17,802
18,818
19,801
20,779
21,774
22,817
23,811
24,787
25,812
26,807
27,809
28,766
29,795
30,813
31,811
32,813
33,763
34,802
35,807
36,838
37,785
38,795
39,800
40,813
41,793
42,817
43,788
44,804
45,792
46,802
47,789
48,776
49,816
50,804
51,791
52,803
53,814
54,785
55,798
56,808
57,807
58,794
59,768
60,818
61,804
62,800
63,795
64,803
65,793
66,784
67,788
68,791
69,790
70,782
71,809
72,780
73,809
74,784
75,805
76,820
77,803
78,789
79,800
80,802
81,773
82,790
83,802
84,792
85,801
86,811
87,811
88,813
89,808
90,275
91,279
92,275
93,275
94,277
95,254
96,275
97,279
98,265
99,279
100,287
101,277
102,311
103,240
104,276
105,252
106,294
107,319
108,242
109,281
110,287
111,275
112,288
113,246
114,292
115,285
116,280
117,271
118,289
119,272
120,283
121,272
122,246
123,279
124,283
125,291
126,266
127,279
128,289
129,282
130,298
131,309
132,266
133,251
134,292
135,302
136,293
137,292
138,270
139,269
140,293
141,266
142,252
143,265
144,317
145,308
146,269
147,269
148,283
149,268
150,299
151,278
152,263
153,299
154,271
155,283
156,279
157,275
158,284
159,269
160,252
161,246
162,261
163,268
164,279
165,280
166,288
167,281
168,268
169,269
170,248
171,277
172,287
173,287
174,278
175,277
176,294
177,280
178,291
179,288
