timestamp,value
0,499
1,504
2,494
3,499
4,503
5,503
6,505
7,501
8,497
9,506
10,500
11,493
12,494
13,499
14,499
15,501
16,499
17,501
18,498
19,489
20,503
21,508
22,503
23,498
24,503
25,492
26,484
27,500
28,492
29,505
30,491
31,478
32,491
33,512
34,496
35,489
36,493
37,504
38,503
39,501
40,511
41,505
42,499
43,504
44,513
45,507
46,508
47,491
48,498
49,505
50,497
51,508
52,504
53,507
54,498
55,520
56,509
57,498
58,500
59,520
60,497
61,506
62,507
63,500
64,490
65,501
66,502
67,509
68,506
69,500
70,506
71,504
72,501
73,500
74,498
75,505
76,491
77,494
78,500
79,488
80,496
81,483
82,494
83,504
84,504
85,499
86,498
87,488
88,514
89,504
90,508
91,492
92,498
93,485
94,506
95,507
96,484
97,499
98,505
99,485
100,485
101,491
102,494
103,488
104,500
105,501
106,505
107,505
108,512
109,509
110,489
111,495
112,491
113,491
114,499
115,500
116,503
117,487
118,490
119,499
120,498
121,497
122,499
123,493
124,505
125,502
126,499
127,494
128,498
129,478
130,492
131,500
132,487
133,501
134,501
135,488
136,497
137,497
138,503
139,504
140,499
141,493
142,498
143,499
144,505
145,502
146,494
147,489
148,497
149,494
150,491
151,499
152,496
153,500
154,504
155,496
156,518
157,497
158,508
159,500
160,508
161,480
162,493
163,501
164,504
165,518
166,502
167,510
168,506
169,507
170,504
171,498
172,504
173,491
174,509
175,491
176,501
177,516
178,498
179,500
