timestamp,value
0,546
1,517
2,500
3,559
4,587
5,607
6,561
7,675
8,683
9,626
10,645
11,623
12,702
13,620
14,676
15,630
16,619
17,671
18,689
19,628
20,592
21,640
22,594
23,595
24,629
25,598
26,516
27,612
28,504
29,519
30,445
31,453
32,369
33,496
34,465
35,349
36,326
37,311
38,414
39,342
40,352
41,339
42,345
43,306
44,353
45,298
46,358
47,381
48,396
49,379
50,364
51,419
52,407
53,505
54,488
55,469
56,472
57,479
58,486
59,526
60,567
61,591
62,608
63,682
64,582
65,621
66,741
67,562
68,622
69,654
70,655
71,666
72,638
73,659
74,642
75,663
76,548
77,579
78,603
79,549
80,534
81,586
82,520
83,555
84,543
85,509
86,500
87,459
88,391
89,431
90,436
91,383
92,388
93,411
94,337
95,389
96,432
97,331
98,356
99,343
100,412
101,366
102,394
103,337
104,372
105,382
106,322
107,463
108,455
109,364
110,479
111,460
112,499
113,513
114,455
115,522
116,607
117,540
118,536
119,537
120,555
121,628
122,693
123,650
124,650
125,734
126,627
127,622
128,670
129,669
130,602
131,590
132,641
133,630
134,557
135,589
136,562
137,588
138,550
139,535
140,508
141,548
142,545
143,458
144,490
145,410
146,429
147,442
148,459
149,372
150,374
151,376
152,301
153,356
154,325
155,365
156,305
157,272
158,357
159,371
160,346
161,412
162,376
163,374
164,431
165,363
166,413
167,455
168,506
169,482
170,518
171,496
172,550
173,621
174,542
175,678
176,571
177,610
178,627
179,670
