timestamp,value
0,796
1,810
2,801
3,802
4,795
5,808
6,830
7,822
8,834
9,824
10,829
11,828
12,802
13,842
14,839
15,841
16,810
17,811
18,826
19,834
20,847
21,843
22,854
23,838
24,853
25,856
26,841
27,878
28,862
29,872
30,846
31,845
32,852
33,856
34,868
35,862
36,852
37,845
38,852
39,878
40,847
41,863
42,866
43,836
44,859
45,878
46,827
47,852
48,854
49,843
50,862
51,852
52,830
53,863
54,859
55,862
56,868
57,850
58,845
59,822
60,849
61,829
62,830
63,815
64,818
65,822
66,848
67,796
68,802
69,825
70,841
71,826
72,787
73,775
74,816
75,797
76,789
77,818
78,817
79,801
80,800
81,800
82,815
83,798
84,794
85,792
86,758
87,799
88,792
89,783
90,743
91,761
92,781
93,740
94,762
95,778
96,741
97,783
98,766
99,753
100,759
101,762
102,753
103,767
104,739
105,741
106,762
107,745
108,731
109,757
110,764
111,735
112,720
113,739
114,738
115,735
116,761
117,724
118,758
119,721
120,728
121,749
122,757
123,754
124,747
125,744
126,745
127,752
128,742
129,750
130,755
131,748
132,760
133,759
134,782
135,758
136,748
137,751
138,758
139,774
140,757
141,769
142,793
143,729
144,753
145,775
146,780
147,780
148,772
149,790
150,787
151,777
152,824
153,795
154,784
155,793
156,794
157,798
158,761
159,797
160,822
161,791
162,810
163,828
164,829
165,841
166,795
167,817
168,820
169,836
170,846
171,791
172,850
173,813
174,847
175,817
176,843
177,860
178,842
179,848
