timestamp,value
0,407
1,402
2,400
3,417
4,413
5,400
6,431
7,393
8,414
9,403
10,407
11,414
12,410
13,414
14,393
15,394
16,416
17,401
18,401
19,397
20,425
21,420
22,428
23,404
24,414
25,403
26,422
27,431
28,407
29,432
30,426
31,415
32,397
33,431
34,417
35,412
36,422
37,422
38,434
39,409
40,430
41,434
42,434
43,418
44,412
45,430
46,421
47,421
48,434
49,417
50,396
51,415
52,401
53,427
54,422
55,413
56,419
57,427
58,419
59,431
60,417
61,428
62,432
63,433
64,410
65,425
66,397
67,404
68,395
69,425
70,402
71,413
72,411
73,412
74,406
75,414
76,429
77,411
78,415
79,419
80,407
81,395
82,402
83,418
84,390
85,400
86,415
87,412
88,404
89,411
90,404
91,390
92,385
93,394
94,409
95,393
96,389
97,390
98,382
99,395
100,384
101,399
102,371
103,397
104,387
105,373
106,399
107,388
108,368
109,381
110,392
111,384
112,396
113,395
114,394
115,390
116,400
117,392
118,390
119,364
120,393
121,397
122,381
123,378
124,402
125,365
126,387
127,406
128,372
129,388
130,400
131,379
132,386
133,389
134,371
135,379
136,383
137,388
138,379
139,378
140,369
141,376
142,388
143,381
144,371
145,371
146,406
147,391
148,386
149,354
150,387
151,385
152,398
153,385
154,381
155,387
156,362
157,392
158,386
159,376
160,396
161,402
162,370
163,378
164,388
165,387
166,382
167,377
168,408
169,398
170,376
171,375
172,406
173,400
174,408
175,399
176,383
177,395
178,371
179,386
