timestamp,value
0,505
1,494
2,527
3,529
4,527
5,551
6,522
7,523
8,531
9,524
10,539
11,505
12,515
13,478
14,529
15,515
16,531
17,545
18,519
19,516
20,514
21,509
22,512
23,527
24,520
25,520
26,517
27,530
28,525
29,518
30,0
31,518
32,506
33,537
34,525
35,508
36,532
37,524
38,501
39,539
40,524
41,530
42,522
43,518
44,501
45,531
46,520
47,516
48,524
49,520
50,528
51,515
52,519
53,494
54,514
55,528
56,536
57,515
58,518
59,539
60,516
61,528
62,540
63,520
64,534
65,511
66,522
67,519
68,521
69,533
70,548
71,512
72,513
73,525
74,507
75,525
76,526
77,9999
78,526
79,501
80,529
81,501
82,511
83,513
84,515
85,530
86,520
87,515
88,526
89,538
90,520
91,524
92,534
93,523
94,504
95,549
96,546
97,496
98,519
99,525
100,531
101,528
102,516
103,507
104,521
105,532
106,506
107,507
108,519
109,496
110,516
111,514
112,525
113,511
114,509
115,515
116,519
117,512
118,520
119,529
120,0
121,540
122,510
123,514
124,490
125,542
126,511
127,519
128,526
129,503
130,525
131,519
132,498
133,523
134,534
135,497
136,529
137,522
138,525
139,525
140,535
141,517
142,530
143,515
144,528
145,510
146,518
147,540
148,525
149,518
150,9999
151,510
152,522
153,531
154,525
155,526
156,519
157,536
158,515
159,513
160,530
161,520
162,516
163,513
164,516
165,527
166,524
167,505
168,525
169,522
170,507
171,529
172,516
173,515
174,529
175,535
176,511
177,525
178,509
179,547
